prA,prB,agentA,agentB,userA,userB,startA,endA,startB,endB,stateA,stateB,cross,overlap_seconds,repo_id,repo,stratum,draw_index
721,724,OpenAI_Codex,OpenAI_Codex,MarvinJWendt,MarvinJWendt,1749336567.0,1749336804.0,1749336617.0,1749336783.0,closed_unmerged,merged,False,166.0,296373527,pterm/pterm,same,1
723,724,OpenAI_Codex,OpenAI_Codex,MarvinJWendt,MarvinJWendt,1749336601.0,1749336824.0,1749336617.0,1749336783.0,merged,merged,False,166.0,296373527,pterm/pterm,same,2
479,483,Copilot,Copilot,Copilot,Copilot,1756988938.0,1756990539.0,1756989152.0,1758969674.0,merged,merged,False,1387.0,209532241,dianlight/hassio-addons,same,1
481,483,Copilot,Copilot,Copilot,Copilot,1756988991.0,1758975245.0,1756989152.0,1758969674.0,closed_unmerged,merged,False,1980522.0,209532241,dianlight/hassio-addons,same,2
481,485,Copilot,Copilot,Copilot,Copilot,1756988991.0,1758975245.0,1756991107.0,1756993725.0,closed_unmerged,merged,False,2618.0,209532241,dianlight/hassio-addons,same,3
483,485,Copilot,Copilot,Copilot,Copilot,1756989152.0,1758969674.0,1756991107.0,1756993725.0,merged,merged,False,2618.0,209532241,dianlight/hassio-addons,same,4
521,522,Copilot,Copilot,Copilot,Copilot,1759396278.0,1759411494.0,1759396484.0,1759398224.0,merged,merged,False,1740.0,209532241,dianlight/hassio-addons,same,5
425,426,OpenAI_Codex,OpenAI_Codex,puemos,puemos,1753532143.0,1753532199.0,1753532190.0,1753532249.0,merged,merged,False,9.0,131896967,puemos/hls-downloader,same,0
1349,1360,Copilot,Copilot,Copilot,Copilot,1749270170.0,1751943215.0,1749818675.0,1751556481.0,merged,closed_unmerged,False,1737806.0,416855086,github/gh-gei,same,5
1349,1373,Copilot,Copilot,Copilot,Copilot,1749270170.0,1751943215.0,1751556799.0,1751904749.0,merged,closed_unmerged,False,347950.0,416855086,github/gh-gei,same,6
1376,1377,Copilot,Copilot,Copilot,Copilot,1751604131.0,1751604307.0,1751604222.0,1751607556.0,closed_unmerged,closed_unmerged,False,85.0,416855086,github/gh-gei,same,40
1382,1383,Copilot,Copilot,Copilot,Copilot,1751945724.0,1752766266.0,1751952047.0,1751989646.0,merged,closed_unmerged,False,37599.0,416855086,github/gh-gei,same,41
1382,1386,Copilot,Copilot,Copilot,Copilot,1751945724.0,1752766266.0,1751953503.0,1752766397.0,merged,merged,False,812763.0,416855086,github/gh-gei,same,44
385,386,OpenAI_Codex,OpenAI_Codex,jdereg,jdereg,1750311999.0,1750312546.0,1750312079.0,1750312110.0,merged,merged,False,31.0,12594924,jdereg/json-io,same,0
2650,2682,OpenAI_Codex,OpenAI_Codex,JKamsker,JKamsker,1758992725.0,1759354693.0,1759263911.0,1759277682.0,closed_unmerged,closed_unmerged,False,13771.0,23315232,litedb-org/LiteDB,same,48
2679,2683,OpenAI_Codex,OpenAI_Codex,JKamsker,JKamsker,1759262743.0,1759277681.0,1759265696.0,1759277683.0,closed_unmerged,closed_unmerged,False,11985.0,23315232,litedb-org/LiteDB,same,74
2680,2684,OpenAI_Codex,OpenAI_Codex,JKamsker,JKamsker,1759263882.0,1759277681.0,1759265719.0,1759277683.0,closed_unmerged,closed_unmerged,False,11962.0,23315232,litedb-org/LiteDB,same,83
2681,2684,OpenAI_Codex,OpenAI_Codex,JKamsker,JKamsker,1759263896.0,1759277682.0,1759265719.0,1759277683.0,closed_unmerged,closed_unmerged,False,11963.0,23315232,litedb-org/LiteDB,same,90
2684,2685,OpenAI_Codex,OpenAI_Codex,JKamsker,JKamsker,1759265719.0,1759277683.0,1759265734.0,1759277683.0,closed_unmerged,closed_unmerged,False,11949.0,23315232,litedb-org/LiteDB,same,106
5035,5036,Copilot,Copilot,Copilot,Copilot,1755206799.0,1755532711.0,1755263669.0,1755531659.0,merged,merged,False,267990.0,252724819,workadventure/workadventure,same,0
104,105,OpenAI_Codex,OpenAI_Codex,noahho,noahho,1750885473.0,1750967174.0,1750929027.0,1751016925.0,closed_unmerged,closed_unmerged,False,38147.0,898949330,PriorLabs/tabpfn-extensions,same,0
158,159,OpenAI_Codex,OpenAI_Codex,LeoGrin,LeoGrin,1757063268.0,1757095277.0,1757074855.0,1757346562.0,closed_unmerged,merged,False,20422.0,898949330,PriorLabs/tabpfn-extensions,same,1
184,185,OpenAI_Codex,OpenAI_Codex,noahho,noahho,1761317081.0,1761387488.0,1761321141.0,1761387498.0,closed_unmerged,closed_unmerged,False,66347.0,898949330,PriorLabs/tabpfn-extensions,same,2
104,105,OpenAI_Codex,OpenAI_Codex,dkundel-openai,dkundel-openai,1749858843.0,1750089720.0,1749858861.0,1750089562.0,merged,merged,False,230701.0,993521808,openai/openai-agents-js,same,8
427,434,OpenAI_Codex,OpenAI_Codex,dkundel-openai,seratch,1756920373.0,1757310341.0,1756939386.0,1756939408.0,merged,merged,False,22.0,993521808,openai/openai-agents-js,same,18
